,Unnamed: 0,project,website,project_twitter,created_at,amount,center_x,center_y,color
876,867.0,Ask Network: The Social Contract,https://asknetwork.notion.site/Introduction-73bfa72a8ea24948986824039237e4b5,BrunoZell,1691600033901.0,48.0,-0.75,12.990381056766577,0.16150219719419076
877,866.0,Tropykus,https://tropykus.com,tropykus,1691597030602.0,188.0,-0.75,13.856406460551014,0.3020652317247451
878,865.0,Whal3s,https://www.whal3s.xyz,usewhal3s,1691594626160.0,205.0,-0.75,14.722431864335455,0.31097813684122017
879,864.0,Nexus Nodes,https://www.nexusnodes.xyz,_nexusnodes,1691591415382.0,32.0,-0.75,15.588457268119896,0.11975615528729916
880,863.0,TurtleShell,https://turtleshell.xyz,turtleshell_xyz,1691590823499.0,871.0,-0.75,16.45448267190433,0.4599210638471924
881,862.0,Ethscriptions,https://ethscriptions.com,dumbnamenumbers,1691588684663.0,7457.0,-0.75,17.32050807568877,0.6810002026266255
882,861.0,Kiwi News,https://kiwinews.xyz,,1691587171746.0,1079.0,0.0,-17.75352077758099,0.481969399744626
883,860.0,OpenSense,https://opensense.pw,opensensepw,1691580728862.0,459.0,0.0,-16.887495373796554,0.3939667555554591
884,859.0,Hopium,https://hopium.top,hopiumtop,1691580093913.0,59.0,0.0,-16.021469970012117,0.18274626778521197
885,858.0,Urbanika & the Climate Positive Traveling School,https://urbanika.notion.site,0xUrbanika,1691577189127.0,1155.0,0.0,-15.155444566227677,0.4889773314799328
886,857.0,International Media Nodes,https://banklessimn.com/,IMNbankless,1691574733282.0,163.0,0.0,-14.289419162443238,0.2873739151155756
887,856.0,BaseX - universal evaluation engine. Impact. Externalities. Cobenefits.,https://basex.com,basexHQ,1691573935807.0,75.0,0.0,-13.4233937586588,0.2074512066558414
888,855.0,luna the laser dog,https://lunaisacooldog.com,meli_irl,1691570424791.0,10.0,0.0,-12.557368354874361,0.0
889,854.0,Kleo Network,https://www.kleo.network,vaibhavgeek,1691566077697.0,4786.0,0.0,-11.691342951089922,0.6353424525703101
890,853.0,Programmable Quantitative Token Model,https://github.com/BlockBoy32/QTM-Interface,0xblockboy,1691552175529.0,631.0,0.0,-10.825317547305485,0.42673385077495424
891,852.0,PDX DAO: Urban Experimentalism for Web3,https://pdxdao.xyz,pdxdao,1691542058340.0,385.0,0.0,-9.959292143521045,0.3758659595639789
892,851.0,SANE Foundation: Pioneering Web3 Climate Solutions in Bioregions Worldwide,https://sanefuture.io,SANEfuture,1691537058899.0,38.0,0.0,-9.093266739736606,0.13744958410252683
893,850.0,Send vulnerable children to school,https://www.helpersfoundation.org/,helperssocial,1691536227945.0,308.0,0.0,-8.227241335952169,0.3528914548331536
894,849.0,hiromiouchi.eth,https://0xhiromi.studio.site/,hrm_o25,1691527935687.0,183.0,0.0,-7.361215932167729,0.2992899044501843
895,848.0,DeFi Africa,https://defiafrica.net,defiafrica,1691525255913.0,252.0,0.0,-6.495190528383292,0.3322307195572263
896,847.0,LearnWeb3,https://learnweb3.io,LearnWeb3DAO,1691517813065.0,214.0,0.0,-5.6291651245988525,0.3154018514807664
897,846.0,OpenData Community,https://www.opendatacommunity.org,opendataforweb3,1691513274848.0,582.0,0.0,-4.763139720814413,0.41841116518073634
898,845.0,TalentLayer,https://www.talentlayer.org/,talentlayer,1691512579928.0,2033.0,0.0,-3.897114317029976,0.5471912703231807
899,844.0,RADAR,https://www.radardao.xyz/,Radarxyz,1691506518178.0,227.0,0.0,-3.0310889132455365,0.3214737208694309
900,843.0,Solarpunk Nomads: Nomad Hub and Climate Resilience Tracker,https://solarpunknomads.xyz,SolarpunkNomads,1691492211809.0,981.0,0.0,-2.165063509461099,0.47216595697376307
901,842.0,Mycelia : Bridging Web3 to Indigenous Public Goods,https://linktr.ee/mycelia,mycelia_uni,1691490156299.0,676.0,0.0,-1.299038105676658,0.433826368587673
902,841.0,GamePayy,https://gamepayy.com,gamepayy,1691482413893.0,799.0,0.0,-0.4330127018922205,0.45103770627223017
903,840.0,Academy Ventures,https://www.academyventures.xyz/,venturesacademy,1691481362985.0,371.0,0.0,0.43301270189221697,0.3720522492127546
904,839.0,The PASS,https://thepass.to/,thepass_to,1691472938894.0,88.0,0.0,1.299038105676658,0.22390897437700974
905,838.0,Fundación Salva Terra,https://www.fundacionsalvaterra.org,fundasalvaterra,1691459980264.0,281.0,0.0,2.1650635094610955,0.3434455240189561
906,837.0,0xFable,https://github.com/0xFableOrg/0xFable,0xFableGame,1691454126102.0,1237.0,0.0,3.031088913245533,0.49603911990774857
907,836.0,EVM Diff,https://evmdiff.com,msolomon44,1691453813794.0,1228.0,0.0,3.8971143170299705,0.49528729046612735
908,835.0,Kingfisher's Corner™,https://willt.rocks/kingfishersmedia,KMLLCW3,1691446926968.0,57.0,0.0,4.7631397208144115,0.17919562600941846
909,834.0,Synpress,https://synpress.io,Synpress_,1691439308436.0,608.0,0.0,5.629165124598849,0.4229109041387758
910,833.0,T2 LATAM,https://t2latam.com,T2LATAM,1691434704355.0,193.0,0.0,6.4951905283832865,0.30476770728625147
911,832.0,SymVal,https://symval.gitbook.io,lenara,1691434278579.0,649.0,0.0,7.3612159321677275,0.42962974689304695
912,831.0,Women Biz Academy,https://en.hiwomenbiz.com,hiwomenbiz,1691432017770.0,68.0,0.0,8.227241335952165,0.1973632998257221
913,830.0,Criptec,https://beacons.ai/criptecmx,criptecmx,1691431419598.0,110.0,0.0,9.093266739736602,0.246883479107835
914,829.0,Alinticoin,https://www.alinticoin.green,alinticoins,1691428646476.0,137.0,0.0,9.959292143521044,0.26948290725737734
915,828.0,Antisat,https://beacons.ai/antisat_eth,antisat_eth,1691427240633.0,112.0,0.0,10.825317547305481,0.248738635743443
916,827.0,GasLockR,https://www.gaslockr.xyz,gaslockr,1691426863444.0,1798.0,0.0,11.691342951089919,0.5345441067665198
917,826.0,Roela,https://roela.io,Roelaok,1691426096330.0,30.0,0.0,12.55736835487436,0.11311137191595383
918,825.0,Dandelion,https://dandelion.events,lunarpunk_0x,1691422938104.0,147.0,0.0,13.423393758658797,0.276736498088354
919,824.0,Jerri.wtf,https://Jerri.wtf,jerri_nft,1691418643893.0,246.0,0.0,14.289419162443238,0.32974967401728655
920,823.0,Kula (कुल) Regenerative Commons,https://kula.earth,kula_earth,1691410892701.0,330.0,0.0,15.155444566227672,0.3599948510237889
921,822.0,Follow The Black Hare,https://stiame.tilda.ws/,stiamee,1691394821456.0,660.0,0.0,16.021469970012113,0.4313601810328511
922,821.0,DAO TOKYO,https://dao-tokyo.xyz/,DAO_TOKYO_XYZ,1691388411138.0,270.0,0.0,16.887495373796554,0.33933411574786154
923,820.0,GG18 AgroforestDAO,https://agroforestdao.web.app,agroforestdao,1691367435396.0,346.0,0.0,17.753520777580988,0.3648695322110346
924,819.0,AikiSend,https://aikisend.vercel.app/,nuel_ikwuoma,1691360824183.0,267.0,0.75,-18.186533479473212,0.3381837305095757
925,818.0,AI For Trees,https://aifortrees.com/tree-solutions,fortreesclub,1691326440465.0,91.0,0.75,-17.320508075688775,0.22736041737097437
926,817.0,Web3Arabs,https://web3arabs.com,Web3Arabs,1691325099117.0,1341.0,0.75,-16.454482671904334,0.5043505929277113
927,816.0,UNIFIED LATAM: Uniting and growing the community,https://unifiedlatam.com/,UNIFIEDLATAM,1691267274673.0,35.0,0.75,-15.588457268119896,0.12898248045614388
928,815.0,datalatte ☕️,https://www.datalatte.com,datalatteAi,1691230460253.0,525.0,0.75,-14.722431864335459,0.40779901712104755
929,814.0,Bspeak,https://www.bspeak.xyz,CoffeeTimesTW,1691198393764.0,614.0,0.75,-13.85640646055102,0.4239219604570651
930,813.0,OpenUX: Open Source Web3 UX-Insights,https://openux.xyz,OpenUX_xyz,1691158740230.0,3995.0,0.75,-12.99038105676658,0.6167428710211801
931,812.0,Web3 Talks Podcast,https://web3talks.xyz,web3talks,1691134437344.0,335.0,0.75,-12.124355652982143,0.36154312693236185
932,811.0,Yaupon Tea Co. - Creating Sustainable Rewards for Local Suppliers,https://yaupon.store/,YauponTeaCo_NC,1691106643857.0,200.0,0.75,-11.258330249197703,0.30843582476707426
933,810.0,DataBites,https://bit.ly/47fL5bP,databites_eth,1691103615065.0,388.0,0.75,-10.392304845413264,0.37666512327384466
934,809.0,web3 Warri Nigeria,https://www.meetup.com/web3-warri/,web3_warri,1691099063710.0,313.0,0.75,-9.526279441628827,0.3545494360346798
935,808.0,"ReFi Medellín - Join the movement towards a more sustainable and equitable future in Medellín, Colombia ",https://linktr.ee/refimedellin,refimedellin,1691073300085.0,1496.0,0.75,-8.660254037844387,0.5156121089426193
936,807.0,FrontierDAO - XKind community cohort,https://frontierdao.xyz/faqs-projects,frontierdao,1691071847688.0,93.0,0.75,-7.794228634059948,0.22959873177837967
937,806.0,Militereum,https://militereum.com,militereum,1691063867264.0,516.0,0.75,-6.9282032302755105,0.40601871211192464
938,805.0,Replica_IO – a framework for composing practical distributed replication mechanisms,https://github.com/replica-io/replica-io,Replica_IO,1691056890431.0,106.0,0.75,-6.062177826491071,0.2430697687566107
939,804.0,CryptoMx,https://somoscryptomx.com/,somoscryptomx,1691043001317.0,46.0,0.75,-5.196152422706634,0.157120327061498
940,803.0,OPML: OPtimistic Machine Learning on Blockchain,https://github.com/OPML-Labs/opml,,1691026830077.0,545.0,0.75,-4.3301270189221945,0.41164837789080516
941,802.0,KudasaiJP,https://kudasai.co.jp,kudasai_japan,1691022463396.0,19073.0,0.75,-3.4641016151377553,0.7776905574241609
942,801.0,The Badge,https://thebadge.xyz,thebadgexyz,1691016569212.0,804.0,0.75,-2.598076211353318,0.4516799941174903
943,800.0,GainForest: A global conservation basic income enabled by AI and web3,https://gainforest.earth,gainforestnow,1691012654769.0,1320.0,0.75,-1.7320508075688785,0.5027255110419134
944,799.0,AQKU,https://aqku.pe/blockchainperu23/,aqku_pe,1691000435852.0,57.0,0.75,-0.866025403784441,0.17919562600941846
945,798.0,Stake Garden 🌳,https://stakegarden.io,StakeGarden,1690996105168.0,703.0,0.75,0.0,0.4378586126983945
946,797.0,Beepo,https://beepoapp.net,beepoapp,1690987385281.0,826.0,0.75,0.8660254037844375,0.45445940825948034
947,796.0,Libree,https://libree.xyz,libreexyz,1690977667536.0,743.0,0.75,1.732050807568875,0.4435562437649256
948,795.0,PrivX,https://privx.exchange,PrivExchange,1690970905308.0,1475.0,0.75,2.598076211353316,0.5141565972831115
949,794.0,Eppie: Web3 native email,https://eppie.io,EppieApp,1690968103210.0,1196.0,0.75,3.4641016151377535,0.49256875873434053
950,793.0,UPTO3,https://upto3.xyz,upto3xyz,1690961456048.0,69.0,0.75,4.330127018922191,0.1988663689683896
